Date,Description,Amount,Balance
2024-02-01,Salary Deposit,3000.00,6993.41
2024-02-02,GROCERY STORE #1234,-52.30,6941.11
2024-02-05,AMAZON.COM PURCHASE,-125.00,6816.11
2024-02-07,GAS STATION SHELL,-38.75,6777.36
2024-02-10,COFFEE SHOP STARBUCKS,-5.50,6771.86
2024-02-12,UTILITY BILL ELECTRIC,-118.50,6653.36
2024-02-14,RESTAURANT FANCY DINNER,-85.00,6568.36
2024-02-16,PHARMACY CVS,-18.50,6549.86
2024-02-18,ONLINE TRANSFER TO SAVINGS,-500.00,6049.86
2024-02-20,GROCERY STORE #1234,-65.20,5984.66
2024-02-22,SPOTIFY SUBSCRIPTION,-9.99,5974.67
2024-02-25,GAS STATION SHELL,-40.00,5934.67
2024-02-27,RESTAURANT PIZZA HUT,-28.75,5905.92

